food_id,food_name_ar,food_name_en,ingredients_ar,ingredients_en,description_ar,description_en,main_category_ar,main_category_en,calorie_category,rating_avg,image_url,calories_per_100g,fats_per_100g,protein_per_100g,carbs_per_100g,user_1_rating,user_2_rating,user_3_rating,user_4_rating,user_5_rating,user_6_rating,user_7_rating,user_8_rating,user_9_rating,user_10_rating,user_11_rating,user_12_rating,user_13_rating,user_14_rating,user_15_rating,user_16_rating,user_17_rating,user_18_rating,user_19_rating,user_20_rating
1235,شوربة أرز بالصلصة,Soup Rice with sauce,أرز، ملح، فلفل أسود، زيت، بصل، طماطم,"Rice, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من أرز، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بالصلصة.,"An Egyptian dish made with Rice, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالصلصة style.",نباتي,Vegetarian,Low,4.0,https://upload.wikimedia.org/wikipedia/commons/f/fa/Lentil_soup.jpg,90.0,1.5,2.5,17.0,3.0,,,,5.0,4.0,,,,,3.0,1.0,,4.0,,,,,,5.0
1242,فتة لحمة مشوي,Fattah Beef grilled,لحمة، ملح، فلفل أسود، زيت، بصل، طماطم,"Beef, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من لحمة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مشوي.,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مشوي style.",لحوم,Meat,High,4.4,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,177.0,4.7,9.8,22.8,,1.0,3.0,4.0,2.0,,,,4.0,,,3.0,,,3.0,,,1.0,,5.0
1262,صينية كبدة بلدي,Tray Bake Liver baladi,كبدة، ملح، فلفل أسود، زيت، بصل، طماطم,"Liver, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من كبدة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بلدي.,"An Egyptian dish made with Liver, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بلدي style.",لحوم,Meat,Medium,3.9,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,165.0,7.0,23.5,3.5,,3.0,,2.0,3.0,,,,,,,3.0,2.0,,,,,2.0,,4.0
1264,صينية سبانخ مقلي,Tray Bake Spinach fried,سبانخ، ملح، فلفل أسود، زيت، بصل، طماطم,"Spinach, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من سبانخ، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مقلي.,"An Egyptian dish made with Spinach, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",نباتي,Vegetarian,Low,4.5,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,228.0,14.2,16.8,9.7,,,3.0,,2.0,,,,5.0,,,,3.0,,1.0,,1.0,,4.0,
1274,فول لحمة بلدي,Fava Beans Beef baladi,لحمة، ملح، فلفل أسود، زيت، بصل، طماطم,"Beef, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من لحمة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بلدي.,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بلدي style.",لحوم,Meat,High,4.1,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,110.0,0.7,7.6,19.7,5.0,,,,5.0,1.0,3.0,,,5.0,1.0,5.0,1.0,5.0,,5.0,,,,
1283,طاجن لحمة بالصلصة,Tagine Beef with sauce,لحمة، ملح، فلفل أسود، زيت، بصل، طماطم,"Beef, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من لحمة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بالصلصة.,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالصلصة style.",لحوم,Meat,High,4.5,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,217.0,11.2,27.3,0.0,,,,,3.0,,,3.0,1.0,1.0,,,,,,,,1.0,4.0,
1306,مسقعة جمبري بالبصل,Moussaka Shrimp with onion,جمبري، ملح، فلفل أسود، زيت، بصل، طماطم,"Shrimp, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من جمبري، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بالبصل.,"An Egyptian dish made with Shrimp, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالبصل style.",أسماك,Seafood,Medium,3.8,https://upload.wikimedia.org/wikipedia/commons/f/f3/Shrimp_grill.jpg,99.0,0.3,24.0,0.2,5.0,2.0,,4.0,,5.0,,,,,,,,,2.0,,,,1.0,5.0
1315,بامية فول في الفرن,Okra Fava Beans in the oven,فول، ملح، فلفل أسود، زيت، بصل، طماطم,"Fava beans, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من فول، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة في الفرن.,"An Egyptian dish made with Fava beans, Salt, Black pepper, Oil, Onion, Tomato, prepared in a في الفرن style.",نباتي,Vegetarian,Low,4.7,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,110.0,0.7,7.6,19.7,,,3.0,,4.0,,,,4.0,2.0,,,,,,,3.0,,,
1321,مسقعة بطاطس مشوي,Moussaka Potato grilled,بطاطس، ملح، فلفل أسود، زيت، بصل، طماطم,"Potato, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من بطاطس، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مشوي.,"An Egyptian dish made with Potato, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مشوي style.",نباتي,Vegetarian,Low,3.8,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,93.0,0.1,2.5,21.2,,,,,2.0,2.0,5.0,,5.0,2.0,5.0,1.0,4.0,,,3.0,4.0,5.0,5.0,
1350,ساندويتش فراخ مشوي,Sandwich Chicken grilled,فراخ، ملح، فلفل أسود، زيت، بصل، طماطم,"Chicken, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من فراخ، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مشوي.,"An Egyptian dish made with Chicken, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مشوي style.",دواجن,Poultry,Medium,4.3,https://upload.wikimedia.org/wikipedia/commons/b/bc/Chicken_grill.jpg,215.0,7.5,18.0,22.0,5.0,,,,,,2.0,,,1.0,,,,,,,,,1.0,
1360,ملوخية أرز بلدي,Molokhia Rice baladi,أرز، ملح، فلفل أسود، زيت، بصل، طماطم,"Rice, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من أرز، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بلدي.,"An Egyptian dish made with Rice, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بلدي style.",نباتي,Vegetarian,Low,3.6,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,35.0,0.2,3.5,6.5,4.0,,,,3.0,,4.0,5.0,3.0,,,,1.0,5.0,2.0,,,2.0,5.0,
1367,كشري عدس بالبصل,Koshari Lentils with onion,عدس، ملح، فلفل أسود، زيت، بصل، طماطم,"Lentils, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من عدس، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بالبصل.,"An Egyptian dish made with Lentils, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالبصل style.",نباتي,Vegetarian,Low,3.9,https://upload.wikimedia.org/wikipedia/commons/4/4f/Koshari.jpg,140.0,3.3,4.3,23.3,5.0,4.0,,3.0,1.0,,,4.0,,,2.0,,,,1.0,1.0,,,,5.0
1379,شوربة فول مقلي,Soup Fava Beans fried,فول، ملح، فلفل أسود، زيت، بصل، طماطم,"Fava beans, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من فول، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مقلي.,"An Egyptian dish made with Fava beans, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",نباتي,Vegetarian,Low,4.1,https://upload.wikimedia.org/wikipedia/commons/f/fa/Lentil_soup.jpg,110.0,0.7,7.6,19.7,4.0,2.0,,,4.0,,,,5.0,2.0,,5.0,1.0,,1.0,4.0,,1.0,3.0,5.0
1382,بامية عدس سبايسي,Okra Lentils spicy,عدس، ملح، فلفل أسود، زيت، بصل، طماطم,"Lentils, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من عدس، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة سبايسي.,"An Egyptian dish made with Lentils, Salt, Black pepper, Oil, Onion, Tomato, prepared in a سبايسي style.",نباتي,Vegetarian,Low,3.9,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,142.0,7.1,14.8,9.7,5.0,,,,,,,,,1.0,,3.0,,,,2.0,,,,
1383,فتة لحمة بالبصل,Fattah Beef with onion,لحمة، ملح، فلفل أسود، زيت، بصل، طماطم,"Beef, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من لحمة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بالبصل.,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالبصل style.",لحوم,Meat,High,3.8,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,177.0,4.7,9.8,22.8,1.0,1.0,,,,,4.0,,,,,,3.0,,,,,,,3.0
1391,محشي طماطم مقلي,Stuffed Tomato fried,طماطم، ملح، فلفل أسود، زيت، بصل، طماطم,"Tomato, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من طماطم، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مقلي.,"An Egyptian dish made with Tomato, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",نباتي,Vegetarian,Low,4.2,https://upload.wikimedia.org/wikipedia/commons/2/29/Mahshi.jpg,99.0,2.8,2.0,16.8,,,,,,,,,,,,,5.0,,,2.0,5.0,5.0,4.0,1.0
1428,شوربة فول بالصلصة,Soup Fava Beans with sauce,فول، ملح، فلفل أسود، زيت، بصل، طماطم,"Fava beans, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من فول، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بالصلصة.,"An Egyptian dish made with Fava beans, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالصلصة style.",نباتي,Vegetarian,Low,4.2,https://upload.wikimedia.org/wikipedia/commons/f/fa/Lentil_soup.jpg,110.0,0.7,7.6,19.7,,,,,,,,,,,,,5.0,,,,3.0,5.0,,
1440,صينية بطاطس مقلي,Tray Bake Potato fried,بطاطس، ملح، فلفل أسود، زيت، بصل، طماطم,"Potato, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من بطاطس، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مقلي.,"An Egyptian dish made with Potato, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",نباتي,Vegetarian,Low,4.5,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,267.0,12.8,3.3,35.7,,,3.0,,,,,1.0,5.0,,,2.0,3.0,5.0,,,,,,1.0
1442,صينية لحمة بلدي,Tray Bake Beef baladi,لحمة، ملح، فلفل أسود، زيت، بصل، طماطم,"Beef, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من لحمة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بلدي.,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بلدي style.",لحوم,Meat,High,4.2,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,217.0,11.2,27.3,0.0,,,,,5.0,,1.0,,,5.0,,4.0,1.0,,2.0,,4.0,2.0,3.0,1.0
1446,صينية كبدة إسكندراني,Tray Bake Liver Alexandrian style,كبدة، ملح، فلفل أسود، زيت، بصل، طماطم,"Liver, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من كبدة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة إسكندراني.,"An Egyptian dish made with Liver, Salt, Black pepper, Oil, Onion, Tomato, prepared in a إسكندراني style.",لحوم,Meat,High,4.8,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,191.0,7.8,24.5,3.2,5.0,2.0,,3.0,,3.0,,2.0,,5.0,4.0,,,1.0,,3.0,3.0,1.0,5.0,4.0
1465,شوربة لحمة مقلي,Soup Beef fried,لحمة، ملح، فلفل أسود، زيت، بصل، طماطم,"Beef, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من لحمة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مقلي.,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",لحوم,Meat,High,3.9,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,228.0,14.2,16.8,9.7,,,,,1.0,3.0,1.0,4.0,2.0,,1.0,,3.0,,4.0,,,5.0,2.0,5.0
1490,فول لحمة مقلي,Fava Beans Beef fried,لحمة، ملح، فلفل أسود، زيت، بصل، طماطم,"Beef, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من لحمة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مقلي.,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",لحوم,Meat,High,4.4,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,110.0,0.7,7.6,19.7,,,5.0,2.0,,,2.0,,,1.0,,4.0,1.0,4.0,,,,2.0,,2.0
1496,كفتة لحمة سبايسي,Kofta Beef spicy,لحمة، ملح، فلفل أسود، زيت، بصل، طماطم,"Beef, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من لحمة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة سبايسي.,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a سبايسي style.",لحوم,Meat,High,4.4,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,177.0,4.7,9.8,22.8,,,,1.0,5.0,,1.0,3.0,,,4.0,3.0,5.0,,,,,,4.0,
1500,لحمة كبدة مقلي,Beef Liver fried,كبدة، ملح، فلفل أسود، زيت، بصل، طماطم,"Liver, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من كبدة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مقلي.,"An Egyptian dish made with Liver, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",لحوم,Meat,Medium,4.0,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,200.0,13.0,21.0,3.0,,4.0,,,4.0,,5.0,,,1.0,,4.0,5.0,,,,,,,
1503,ملوخية سجق بلدي,Molokhia Sausage baladi,سجق، ملح، فلفل أسود، زيت، بصل، طماطم,"Sausage, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من سجق، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بلدي.,"An Egyptian dish made with Sausage, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بلدي style.",لحوم,Meat,High,3.7,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,35.0,0.2,3.5,6.5,,,,,3.0,,,2.0,,5.0,,,1.0,,4.0,,,,,3.0
1505,لحمة كبدة مشوي,Beef Liver grilled,كبدة، ملح، فلفل أسود، زيت، بصل، طماطم,"Liver, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من كبدة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مشوي.,"An Egyptian dish made with Liver, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مشوي style.",لحوم,Meat,Medium,3.9,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,158.0,5.5,25.0,2.0,3.0,1.0,,,4.0,,,1.0,,,,,1.0,,,,,2.0,,
1519,طاجن عدس سبايسي,Tagine Lentils spicy,عدس، ملح، فلفل أسود، زيت، بصل، طماطم,"Lentils, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من عدس، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة سبايسي.,"An Egyptian dish made with Lentils, Salt, Black pepper, Oil, Onion, Tomato, prepared in a سبايسي style.",نباتي,Vegetarian,Medium,4.8,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,118.0,2.0,8.0,19.0,,,,5.0,,2.0,,,1.0,,,5.0,,1.0,,1.0,5.0,1.0,,4.0
1528,كشري أرز بالصلصة,Koshari Rice with sauce,أرز، ملح، فلفل أسود، زيت، بصل، طماطم,"Rice, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من أرز، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بالصلصة.,"An Egyptian dish made with Rice, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالصلصة style.",نباتي,Vegetarian,Low,3.7,https://upload.wikimedia.org/wikipedia/commons/4/4f/Koshari.jpg,140.0,3.3,4.3,23.3,,,,2.0,,,,,2.0,,,,,,,,5.0,,,4.0
1556,بامية بطاطس بلدي,Okra Potato baladi,بطاطس، ملح، فلفل أسود، زيت، بصل، طماطم,"Potato, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من بطاطس، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بلدي.,"An Egyptian dish made with Potato, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بلدي style.",نباتي,Vegetarian,Low,4.3,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,93.0,0.1,2.5,21.2,2.0,5.0,,,,,,,,,4.0,4.0,4.0,,,2.0,,,,
1574,صينية لحمة بالصلصة,Tray Bake Beef with sauce,لحمة، ملح، فلفل أسود، زيت، بصل، طماطم,"Beef, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من لحمة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بالصلصة.,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالصلصة style.",لحوم,Meat,High,3.6,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,217.0,11.2,27.3,0.0,5.0,,2.0,,5.0,2.0,,,4.0,,5.0,,1.0,,,,,5.0,2.0,
1577,مسقعة جمبري إسكندراني,Moussaka Shrimp Alexandrian style,جمبري، ملح، فلفل أسود، زيت، بصل، طماطم,"Shrimp, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من جمبري، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة إسكندراني.,"An Egyptian dish made with Shrimp, Salt, Black pepper, Oil, Onion, Tomato, prepared in a إسكندراني style.",أسماك,Seafood,Medium,3.6,https://upload.wikimedia.org/wikipedia/commons/f/f3/Shrimp_grill.jpg,99.0,0.3,24.0,0.2,,,,,,2.0,,,4.0,,,3.0,4.0,1.0,,,1.0,2.0,3.0,4.0
1594,طاجن بطاطس بالصلصة,Tagine Potato with sauce,بطاطس، ملح، فلفل أسود، زيت، بصل، طماطم,"Potato, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من بطاطس، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة بالصلصة.,"An Egyptian dish made with Potato, Salt, Black pepper, Oil, Onion, Tomato, prepared in a بالصلصة style.",نباتي,Vegetarian,Low,3.8,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,93.0,0.1,2.5,21.2,1.0,4.0,,2.0,5.0,,,,,1.0,,,,3.0,,3.0,2.0,3.0,,
1629,فول بصل مقلي,Fava Beans Onion fried,بصل، ملح، فلفل أسود، زيت، بصل، طماطم,"Onion, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من بصل، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مقلي.,"An Egyptian dish made with Onion, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",نباتي,Vegetarian,Low,4.8,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,110.0,0.7,7.6,19.7,2.0,2.0,,2.0,,,5.0,,,2.0,,2.0,,,,,,,3.0,
1631,شوربة جمبري مقلي,Soup Shrimp fried,جمبري، ملح، فلفل أسود، زيت، بصل، طماطم,"Shrimp, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من جمبري، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مقلي.,"An Egyptian dish made with Shrimp, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",أسماك,Seafood,Medium,4.0,https://upload.wikimedia.org/wikipedia/commons/f/f3/Shrimp_grill.jpg,228.0,14.2,16.8,9.7,1.0,,,,,,5.0,3.0,5.0,4.0,,,,,,,,,,5.0
1639,كشري سبانخ مشوي,Koshari Spinach grilled,سبانخ، ملح، فلفل أسود، زيت، بصل، طماطم,"Spinach, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من سبانخ، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مشوي.,"An Egyptian dish made with Spinach, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مشوي style.",نباتي,Vegetarian,Low,4.1,https://upload.wikimedia.org/wikipedia/commons/4/4f/Koshari.jpg,140.0,3.3,4.3,23.3,,,,,,1.0,,,,,3.0,,,,,,3.0,,,4.0
1646,شوربة بصل إسكندراني,Soup Onion Alexandrian style,بصل، ملح، فلفل أسود، زيت، بصل، طماطم,"Onion, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من بصل، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة إسكندراني.,"An Egyptian dish made with Onion, Salt, Black pepper, Oil, Onion, Tomato, prepared in a إسكندراني style.",نباتي,Vegetarian,Low,4.3,https://upload.wikimedia.org/wikipedia/commons/f/fa/Lentil_soup.jpg,70.0,2.5,2.0,10.0,,,5.0,,,4.0,,4.0,5.0,,,,1.0,,,,,,,3.0
1666,طاجن بطاطس إسكندراني,Tagine Potato Alexandrian style,بطاطس، ملح، فلفل أسود، زيت، بصل، طماطم,"Potato, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من بطاطس، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة إسكندراني.,"An Egyptian dish made with Potato, Salt, Black pepper, Oil, Onion, Tomato, prepared in a إسكندراني style.",نباتي,Vegetarian,Medium,4.9,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,150.0,5.5,3.0,23.0,,,,2.0,2.0,,3.0,5.0,,,,,,,,,,,,
1671,فتة لحمة سبايسي,Fattah Beef spicy,لحمة، ملح، فلفل أسود، زيت، بصل، طماطم,"Beef, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من لحمة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة سبايسي.,"An Egyptian dish made with Beef, Salt, Black pepper, Oil, Onion, Tomato, prepared in a سبايسي style.",لحوم,Meat,High,4.2,https://upload.wikimedia.org/wikipedia/commons/4/4f/Kebab.jpg,177.0,4.7,9.8,22.8,,,,,4.0,,,,5.0,,3.0,,,,,,1.0,,,
1672,ملوخية بطاطس مقلي,Molokhia Potato fried,بطاطس، ملح، فلفل أسود، زيت، بصل، طماطم,"Potato, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من بطاطس، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مقلي.,"An Egyptian dish made with Potato, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",نباتي,Vegetarian,Low,3.6,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,267.0,12.8,3.3,35.7,1.0,4.0,,5.0,3.0,,,,,,,,,,,,,,,1.0
1695,صينية سجق مقلي,Tray Bake Sausage fried,سجق، ملح، فلفل أسود، زيت، بصل، طماطم,"Sausage, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من سجق، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة مقلي.,"An Egyptian dish made with Sausage, Salt, Black pepper, Oil, Onion, Tomato, prepared in a مقلي style.",لحوم,Meat,High,4.8,https://upload.wikimedia.org/wikipedia/commons/6/65/Egyptian_food.jpg,301.0,25.6,17.9,1.8,3.0,,,,,,,,1.0,2.0,,,,,,,4.0,5.0,4.0,
1697,محشي كوسة سبايسي,Stuffed Zucchini spicy,كوسة، ملح، فلفل أسود، زيت، بصل، طماطم,"Zucchini, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من كوسة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة سبايسي.,"An Egyptian dish made with Zucchini, Salt, Black pepper, Oil, Onion, Tomato, prepared in a سبايسي style.",نباتي,Vegetarian,Low,4.2,https://upload.wikimedia.org/wikipedia/commons/2/29/Mahshi.jpg,99.0,2.8,2.0,16.8,5.0,4.0,,2.0,4.0,,,,,3.0,,,,,,,,,,
1711,محشي بامية إسكندراني,Stuffed Okra Alexandrian style,بامية، ملح، فلفل أسود، زيت، بصل، طماطم,"Okra, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من بامية، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة إسكندراني.,"An Egyptian dish made with Okra, Salt, Black pepper, Oil, Onion, Tomato, prepared in a إسكندراني style.",نباتي,Vegetarian,Low,3.5,https://upload.wikimedia.org/wikipedia/commons/2/29/Mahshi.jpg,142.0,7.1,14.8,9.7,,,,,3.0,1.0,,,,,,5.0,,,1.0,,,,,
1717,صينية فراخ سبايسي,Tray Bake Chicken spicy,فراخ، ملح، فلفل أسود، زيت، بصل، طماطم,"Chicken, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من فراخ، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة سبايسي.,"An Egyptian dish made with Chicken, Salt, Black pepper, Oil, Onion, Tomato, prepared in a سبايسي style.",دواجن,Poultry,Medium,4.1,https://upload.wikimedia.org/wikipedia/commons/b/bc/Chicken_grill.jpg,187.0,7.4,28.3,0.0,,,2.0,1.0,,,4.0,3.0,5.0,,,,3.0,,,,,,5.0,1.0
1727,شوربة كوسة إسكندراني,Soup Zucchini Alexandrian style,كوسة، ملح، فلفل أسود، زيت، بصل، طماطم,"Zucchini, Salt, Black pepper, Oil, Onion, Tomato",طبق مصري يتكون من كوسة، ملح، فلفل أسود، زيت، بصل، طماطم ويُحضّر بطريقة إسكندراني.,"An Egyptian dish made with Zucchini, Salt, Black pepper, Oil, Onion, Tomato, prepared in a إسكندراني style.",نباتي,Vegetarian,Low,4.8,https://upload.wikimedia.org/wikipedia/commons/f/fa/Lentil_soup.jpg,21.0,0.4,1.5,3.9,4.0,5.0,,,3.0,,,,,1.0,,,3.0,,5.0,5.0,,,1.0,
